time, Quad.Est.E.Pos, Quad.Est.S.Z
3.799907,0.238566,0.365743
3.804907,0.233832,0.364680
3.809906,0.233966,0.364788
3.814906,0.234212,0.364951
3.819906,0.234363,0.365059
3.824905,0.234613,0.365223
3.829905,0.234748,0.365333
3.834904,0.235013,0.365498
3.839904,0.235185,0.365609
3.844904,0.235456,0.365775
3.849903,0.235640,0.365887
3.854903,0.235915,0.366055
3.859903,0.236108,0.366167
3.864902,0.236388,0.366337
3.869902,0.236538,0.366450
3.874902,0.236809,0.366621
3.879901,0.237075,0.366736
3.884901,0.237366,0.366908
3.889900,0.237449,0.367023
3.894900,0.237722,0.367197
3.899900,0.238006,0.367314
3.904899,0.248628,0.366255
3.909899,0.248856,0.366362
3.914899,0.249223,0.366524
3.919898,0.249463,0.366632
3.924898,0.249833,0.366795
3.929898,0.250091,0.366904
3.934897,0.250458,0.367069
3.939897,0.250699,0.367179
3.944896,0.251075,0.367345
3.949896,0.251346,0.367456
3.954896,0.251744,0.367623
3.959895,0.252086,0.367735
3.964895,0.252518,0.367904
3.969895,0.252789,0.368017
3.974894,0.253216,0.368187
3.979894,0.253622,0.368301
3.984894,0.254074,0.368473
3.989893,0.254443,0.368588
3.994893,0.254908,0.368761
3.999892,0.255324,0.368877
4.004892,0.226183,0.367822
4.009892,0.226330,0.367929
4.014892,0.226374,0.368090
4.019891,0.226347,0.368198
4.024891,0.226403,0.368361
4.029891,0.226437,0.368470
4.034890,0.226494,0.368633
4.039890,0.226525,0.368743
4.044889,0.226591,0.368908
4.049889,0.226626,0.369019
4.054889,0.226680,0.369186
4.059888,0.226714,0.369297
4.064888,0.226765,0.369465
4.069888,0.226836,0.369578
4.074887,0.226896,0.369747
4.079887,0.226927,0.369861
4.084887,0.226985,0.370032
4.089886,0.226895,0.370146
4.094886,0.226929,0.370319
4.099885,0.226923,0.370434
4.104885,0.267185,0.369384
4.109885,0.267446,0.369490
4.114884,0.267846,0.369650
4.119884,0.268119,0.369758
4.124884,0.268518,0.369920
4.129883,0.268768,0.370028
4.134883,0.269177,0.370191
4.139883,0.269450,0.370300
4.144882,0.269862,0.370465
4.149882,0.270126,0.370575
4.154881,0.270529,0.370741
4.159881,0.270810,0.370852
4.164881,0.271221,0.371020
4.169880,0.271514,0.371132
4.174880,0.271932,0.371301
4.179880,0.272232,0.371414
4.184879,0.272658,0.371584
4.189879,0.272849,0.371698
4.194879,0.273262,0.371870
4.199878,0.273576,0.371985
4.204878,0.253542,0.370938
4.209877,0.253789,0.371044
4.214877,0.254156,0.371204
4.219877,0.254428,0.371311
4.224876,0.254793,0.371472
4.229876,0.255075,0.371580
4.234876,0.255428,0.371742
4.239875,0.255668,0.371851
4.244875,0.256017,0.372015
4.249875,0.256246,0.372125
4.254874,0.256593,0.372290
4.259874,0.256790,0.372401
4.264874,0.257122,0.372567
4.269873,0.257344,0.372679
4.274873,0.257676,0.372847
4.279872,0.257880,0.372960
4.284872,0.258209,0.373129
4.289872,0.258586,0.373243
4.294871,0.258945,0.373414
4.299871,0.259063,0.373528
4.304871,0.233230,0.372486
4.309870,0.233356,0.372592
4.314870,0.233506,0.372751
4.319870,0.233520,0.372857
4.324869,0.233688,0.373018
4.329869,0.233839,0.373125
4.334868,0.233995,0.373287
4.339868,0.234089,0.373395
4.344868,0.234258,0.373559
4.349867,0.234388,0.373668
4.354867,0.234577,0.373833
4.359867,0.234739,0.373943
4.364866,0.234947,0.374109
4.369866,0.235041,0.374220
4.374866,0.235239,0.374388
4.379865,0.235278,0.374500
4.384865,0.235458,0.374669
4.389864,0.235583,0.374782
4.394864,0.235765,0.374952
4.399864,0.235997,0.375066
4.404863,0.192312,0.374028
4.409863,0.192415,0.374133
4.414863,0.192351,0.374291
4.419862,0.192252,0.374398
